lang_id,lang_name,tonal,resource,family,model,config,layers,trr,per_layer_r,wer,wer_delta,halluc_rate,halluc_n_high_cr,halluc_n_empty,mean_hyp_words,mean_ref_words,seq_len_final,n_samples,elapsed_s
en_us,English,False,High,Germanic,whisper-medium,baseline,[],0.0,0.0,0.05159,0.0,0.0,0,0,21.2,21.13,1500,264,226.6
en_us,English,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.050883,-0.000707,0.0,0,0,21.19,21.13,1428,264,225.9
en_us,English,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.050707,-0.000883,0.0,0,0,21.19,21.13,1354,264,222.3
en_us,English,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.051237,-0.000353,0.0,0,0,21.2,21.13,1204,264,210.6
en_us,English,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.05106,-0.00053,0.0,0,0,21.2,21.13,1054,264,203.4
en_us,English,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.051237,-0.000353,0.0,0,0,21.2,21.13,904,264,195.1
es_419,Spanish,False,High,Romance,whisper-medium,baseline,[],0.0,0.0,0.035224,0.0,0.0,0,0,25.78,25.82,1500,264,318.4
es_419,Spanish,False,High,Romance,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.036393,0.001169,0.0,0,0,25.78,25.82,1428,264,313.9
es_419,Spanish,False,High,Romance,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.035662,0.000438,0.0,0,0,25.79,25.82,1354,264,311.3
es_419,Spanish,False,High,Romance,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.035662,0.000438,0.0,0,0,25.78,25.82,1204,264,684.7
es_419,Spanish,False,High,Romance,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.034785,-0.000438,0.0,0,0,25.8,25.82,1054,264,744.2
es_419,Spanish,False,High,Romance,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.035808,0.000585,0.0,0,0,25.8,25.82,904,264,766.3
de_de,German,False,High,Germanic,whisper-medium,baseline,[],0.0,0.0,0.065848,0.0,0.0,0,0,21.81,22.0,1500,264,557.9
de_de,German,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.066189,0.000341,0.0,0,0,21.8,22.0,1428,264,556.4
de_de,German,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.06653,0.000682,0.0,0,0,21.8,22.0,1354,264,550.9
de_de,German,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.065677,-0.000171,0.0,0,0,21.79,22.0,1204,264,550.8
de_de,German,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.066018,0.000171,0.0,0,0,21.8,22.0,1054,264,566.3
de_de,German,False,High,Germanic,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.068236,0.002388,0.0,0,0,21.79,22.0,904,264,566.1
cmn_hans_cn,Mandarin Chinese,True,High,Sino-Tibetan,whisper-medium,baseline,[],0.0,0.0,0.999783,0.0,0.0,0,0,1.1,34.85,1500,264,509.1
cmn_hans_cn,Mandarin Chinese,True,High,Sino-Tibetan,whisper-medium,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.999458,-0.000325,0.0,0,0,1.12,34.85,1428,264,675.7
